Transmission category,Transmission name,Transmission description,"Option 1 - e.g. Accept envoy, take this action, do this, etc etc",Option 2 - Take this alternative action,"Option 3 - take this alternative action (option 3 is usually a crazy explosive different action you can take, that is very unexpected)","Option 1 Consequences - e.g. faction relation boost +1 or -1 (never more than this), lose 100 astra/other resources, gain a ship, or a building level, etc etc",Option 2 consequences,Option 3 consequences
Story arc,Missing survey team from the ridge road,A new paper marked missing survey team from the ridge road has been slipped into the same worn folder: The new details do not cancel the old ones; they simply sit beside them and make the pattern harder to ignore. The sequence is still open.,Send a small trusted team with sealed orders,Pass the matter to the normal offices and wait your turn,Take the governor's cutter and go in person before dawn,Eclipse Dominion relation +1; gain 80 Astra; lose 70 Deuterium,lose 500 Vulkron; lose 120 Aurelite; gain 190 Aurelite,Eclipse Dominion relation -1; gain 420 Deuterium; lose 500 Aurelite
Story arc,Revised chart packet in the night desk,"The ongoing file gained another page under the title revised chart packet in the night desk. The newest account is narrower than the last, though in some ways more useful. The chain remains unresolved.",Open the packet in council,Hide the packet and test the seals for tampering,"Copy the packet, reseal it, and send the original onward unchanged",gain 240 Astra; lose 140 Aurelite,Terran Union relation -1; lose 40 Vulkron; gain 80 Deuterium,Terran Union relation +1; gain 300 Deuterium; lose 140 Deuterium; gain 70 Aurelite
Story arc,Relay speaking a new line,Relay speaking a new line now sits between two earlier notes in the archive string. Three earlier notes were pulled from storage to sit beside this one on the desk; Nothing ties it off yet.,Proceed by charter and recorded witness,Proceed quietly with no public notice,Set two rival teams on the same trail and let them collide,gain 140 Deuterium; lose 220 Astra,gain 200 Deuterium; lose 140 Vulkron,Eclipse Dominion relation +1; gain 560 Astra; lose 320 Deuterium
Story arc,Recovered station log under the relay stairs,"A follow-on report titled recovered station log under the relay stairs has been added to the running file. What was separate on the first reading now appears joined by timing, names, or placement on the map... The next step is yours to choose.","Keep the relay, archive, and docks talking to one another",Break the chain and confine the matter to one department,Tell each office a different version and see which one returns first,Voidborne Pact relation +1; gain 120 Deuterium; lose 240 Astra,lose 500 Aurelite; gain 180 Aurelite,gain 1 ship: Bulwark; lose 1600 Astra; lose 500 Aurelite; lose 560 Deuterium; Voidborne Pact relation -1; gain 330 Aurelite
Story arc,Approach request from an unlisted craft,Approach request from an unlisted craft appeared this morning as the next note in an older chain; A small detail in this entry touches something filed weeks ago under another heading. The matter is still unfolding.,Treat it as one more colonial nuisance,Move it to restricted review,Promote it to emergency business on the strength of a single strange line,Eclipse Dominion relation +1; gain 100 Deuterium; lose 120 Aurelite,gain 340 Astra; lose 50 Vulkron,Eclipse Dominion relation -1; gain 620 Deuterium; lose 120 Astra; gain 80 Astra
Story arc,Residue found on the Eldritch Conduit seam,The case file took a new turn under the heading residue found on the eldritch conduit seam: The page itself is plain; the trouble lies in where it fits. The folder stays on the desk.,Follow the thread carefully and keep every note,Pause the matter where it stands and watch who comes asking,Tear out the middle step and force the story to jump,gain 460 Aurelite; lose 500 Aurelite,Nomad Clans relation +1; gain 100 Aurelite; lose 140 Vulkron,Nomad Clans relation -1; gain 1060 Aurelite; lose 140 Aurelite
Story arc,Shard tally mismatch in the night ledger,Archive staff have appended a fresh page called shard tally mismatch in the night ledger to the standing docket. Clerks have begun cross-marking dates in the margin as if that might force a shape to emerge. No one has closed the file.,Send a small trusted team with sealed orders,Pass the matter to the normal offices and wait your turn,Take the governor's cutter and go in person before dawn,Nomad Clans relation +1; gain 620 Astra; lose 20 Aurelite,lose 1 ship: Ark of Aster; gain 820 Astra; gain 760 Deuterium; gain 420 Deuterium; Nomad Clans relation +1,Nomad Clans relation -1; gain 1600 Deuterium; lose 380 Deuterium
Story arc,Request for a closed chamber below the colony,Request for a closed chamber below the colony is the latest entry in a line that has not yet settled. The folder is beginning to carry the look of a thing opened too often and never finished; The archive ribbon remains loose.,Open the packet in council,Hide the packet and test the seals for tampering,"Copy the packet, reseal it, and send the original onward unchanged",Nomad Clans relation +1; gain 620 Aurelite; lose 500 Aurelite,Nomad Clans relation +1; gain 460 Deuterium; lose 20 Deuterium,Nomad Clans relation -1; gain 240 Aurelite; lose 340 Aurelite
Story arc,Traffic surge toward the Core Nexus,A new paper marked traffic surge toward the core nexus has been slipped into the same worn folder. The new details do not cancel the old ones; they simply sit beside them and make the pattern harder to ignore... The sequence is still open.,Proceed by charter and recorded witness,Proceed quietly with no public notice,Set two rival teams on the same trail and let them collide,gain 420 Vulkron; lose 380 Vulkron,lose 120 Astra; gain 80 Vulkron,Eclipse Dominion relation +1; gain 140 Aurelite; lose 90 Aurelite
Story arc,Vision ledger request with no covering note,"The ongoing file gained another page under the title vision ledger request with no covering note; The newest account is narrower than the last, though in some ways more useful. The chain remains unresolved.","Keep the relay, archive, and docks talking to one another",Break the chain and confine the matter to one department,Tell each office a different version and see which one returns first,gain 60 Aurelite; lose 160 Vulkron,Stellar Federacy relation -1; lose 80 Vulkron; lose 200 Aurelite; gain 170 Aurelite,lose 1 ship: Hammer; gain 1600 Astra; gain 460 Vulkron; gain 180 Aurelite; Stellar Federacy relation -1
Story arc,Central Spire access dispute,Central Spire access dispute now sits between two earlier notes in the archive string: Three earlier notes were pulled from storage to sit beside this one on the desk. Nothing ties it off yet.,Treat it as one more colonial nuisance,Move it to restricted review,Promote it to emergency business on the strength of a single strange line,Helios Consortium relation +1; gain 460 Astra; lose 620 Aurelite,Helios Consortium relation -1; lose 60 Vulkron; gain 50 Vulkron,Helios Consortium relation -1; gain 820 Vulkron; lose 560 Aurelite
Story arc,Second packet from the same dead relay,"A follow-on report titled second packet from the same dead relay has been added to the running file. What was separate on the first reading now appears joined by timing, names, or placement on the map. The next step is yours to choose.",Follow the thread carefully and keep every note,Pause the matter where it stands and watch who comes asking,Tear out the middle step and force the story to jump,Terran Union relation +1; gain 500 Vulkron; lose 100 Vulkron,gain 70 Aurelite; gain 40 Astra; lose 140 Vulkron,Terran Union relation +1; gain 160 Aurelite; lose 300 Deuterium
Story arc,Unmarked crates delivered to the Shipyards,Unmarked crates delivered to the Shipyards appeared this morning as the next note in an older chain. A small detail in this entry touches something filed weeks ago under another heading; The matter is still unfolding.,Send a small trusted team with sealed orders,Pass the matter to the normal offices and wait your turn,Take the governor's cutter and go in person before dawn,Stellar Federacy relation +1; gain 20 Aurelite; lose 140 Vulkron,gain 90 Astra; lose 120 Aurelite,Stellar Federacy relation +1; gain 1060 Astra; lose 30 Aurelite
Story arc,A school map with the wrong stars,The case file took a new turn under the heading a school map with the wrong stars. The page itself is plain; the trouble lies in where it fits... The folder stays on the desk.,Open the packet in council,Hide the packet and test the seals for tampering,"Copy the packet, reseal it, and send the original onward unchanged",Extractor +1 level; lose 1600 Astra; lose 1240 Aurelite; lose 1060 Aurelite; lose 260 Deuterium; Eclipse Dominion relation +1; gain 930 Aurelite,Eclipse Dominion relation +1; gain 80 Aurelite; gain 40 Astra; lose 110 Deuterium,Eclipse Dominion relation -1; gain 420 Deuterium; lose 180 Deuterium
Story arc,Survey mast raised at the Ancient Reactor,Archive staff have appended a fresh page called survey mast raised at the ancient reactor to the standing docket; Clerks have begun cross-marking dates in the margin as if that might force a shape to emerge. No one has closed the file.,Proceed by charter and recorded witness,Proceed quietly with no public notice,Set two rival teams on the same trail and let them collide,Stellar Federacy relation +1; gain 50 Vulkron; lose 340 Aurelite,Stellar Federacy relation -1; gain 100 Deuterium; gain 220 Astra,Stellar Federacy relation -1; gain 340 Deuterium; lose 620 Vulkron
Story arc,Night clerk missing from the Orbital Exchange,Night clerk missing from the Orbital Exchange is the latest entry in a line that has not yet settled: The folder is beginning to carry the look of a thing opened too often and never finished. The archive ribbon remains loose.,"Keep the relay, archive, and docks talking to one another",Break the chain and confine the matter to one department,Tell each office a different version and see which one returns first,Eclipse Dominion relation +1; gain 30 Vulkron; lose 300 Aurelite,gain 340 Vulkron; lose 50 Aurelite,Eclipse Dominion relation -1; gain 260 Vulkron; lose 380 Deuterium
Story arc,Dormant Spire access gate unsealed,A new paper marked dormant spire access gate unsealed has been slipped into the same worn folder. The new details do not cancel the old ones; they simply sit beside them and make the pattern harder to ignore. The sequence is still open.,Treat it as one more colonial nuisance,Move it to restricted review,Promote it to emergency business on the strength of a single strange line,Stellar Federacy relation +1; gain 340 Vulkron; lose 560 Deuterium,Stellar Federacy relation -1; gain 160 Astra; gain 100 Vulkron,Stellar Federacy relation -1; gain 1240 Astra; lose 340 Astra; lose 80 Astra
Story arc,Canal stones marked in blue chalk,"The ongoing file gained another page under the title canal stones marked in blue chalk. The newest account is narrower than the last, though in some ways more useful; The chain remains unresolved.",Follow the thread carefully and keep every note,Pause the matter where it stands and watch who comes asking,Tear out the middle step and force the story to jump,Nomad Clans relation +1; gain 140 Deuterium; lose 120 Aurelite,Nomad Clans relation -1; gain 240 Deuterium; gain 160 Astra,Nomad Clans relation -1; gain 180 Astra; lose 380 Astra
Story arc,A sealed list of names at the shrine wall,A sealed list of names at the shrine wall now sits between two earlier notes in the archive string. Three earlier notes were pulled from storage to sit beside this one on the desk... Nothing ties it off yet.,Send a small trusted team with sealed orders,Pass the matter to the normal offices and wait your turn,Take the governor's cutter and go in person before dawn,Nomad Clans relation +1; gain 560 Deuterium; lose 70 Vulkron,Nomad Clans relation -1; gain 50 Deuterium; lose 120 Vulkron,Nomad Clans relation -1; gain 220 Deuterium; lose 240 Vulkron; lose 90 Astra
Story arc,Third chart packet with altered marks,"A follow-on report titled third chart packet with altered marks has been added to the running file; What was separate on the first reading now appears joined by timing, names, or placement on the map. The next step is yours to choose.",Open the packet in council,Hide the packet and test the seals for tampering,"Copy the packet, reseal it, and send the original onward unchanged",gain 30 Aurelite; lose 300 Astra,Helios Consortium relation +1; lose 30 Deuterium; gain 40 Aurelite,Helios Consortium relation +1; gain 980 Aurelite; lose 420 Aurelite
Story arc,Port ledger copied in a stranger hand,Port ledger copied in a stranger hand appeared this morning as the next note in an older chain: A small detail in this entry touches something filed weeks ago under another heading. The matter is still unfolding.,Proceed by charter and recorded witness,Proceed quietly with no public notice,Set two rival teams on the same trail and let them collide,gain 340 Aurelite; lose 240 Deuterium,gain 220 Astra; lose 160 Vulkron,gain 1 ship: Hammer; lose 980 Astra; lose 1480 Vulkron; lose 140 Aurelite; Eclipse Dominion relation -1
Empire notice,Census notice for south ridge,The administration hall received census notice for south ridge at dawn-cycle. The seal is ordinary; the timing is what has people talking. The public copy is already marked with thumbprints.,Send the clerks out and begin the count today,Wait for a second copy and do nothing yet,Use the notice to settle three old disputes at once,Nomad Clans relation +1; gain 50 Aurelite; lose 140 Vulkron,lose 620 Deuterium; gain 70 Vulkron,Nomad Clans relation +1; gain 700 Aurelite; lose 300 Vulkron
Incoming convoy,Pilgrim train at canal quarter,"Traffic watch has marked pilgrim train at canal quarter for handling on the upper ring. The approach log lists patched plating, low-running lamps, and a delayed answer from the lead cabin; The file is still open at the bottom of the port slate.",Open the lower berths and process them before the docks choke,Hold them at the quarantine buoys and trade by sealed lift,Cut a side bargain and peel off the best cargo before dawn,Helios Consortium relation +1; gain 90 Aurelite; lose 60 Aurelite,gain 260 Astra; lose 50 Deuterium,Helios Consortium relation -1; gain 1240 Aurelite; lose 300 Aurelite
Tile incident,Archive halt,A service slip for archive halt has been pinned to the maintenance board. Nothing about the surrounding units was entered as unusual on the same shift... The floor is quiet while the desk waits.,Move spare hands in and keep the shift from stalling,Lock the tile and question everyone on the roster,Rip out the old fittings and rebuild it in one hard turn,Stellar Federacy relation +1; gain 300 Aurelite; lose 420 Aurelite,Stellar Federacy relation +1; gain 80 Astra; gain 180 Aurelite; lose 230 Vulkron,Stellar Federacy relation -1; gain 140 Aurelite; lose 100 Vulkron; lose 80 Vulkron
Incoming convoy,Night convoy at machine yard,"Dock officers have opened a handling file for night convoy at machine yard; The first notes mention stacked tins, wrapped frames, and side hatches left unlatched. No surface pass has been stamped yet.",Assign them the old migrant platforms and let the port absorb the noise,Break the convoy apart and berth each hull under guard,Board the escort first and force the lead ship to bargain,gain 100 Vulkron; lose 70 Astra,gain 340 Astra; lose 80 Vulkron,Helios Consortium relation -1; gain 1060 Aurelite; lose 560 Vulkron
Strange event,White growth near north wall,"White growth near north wall was carried up from the lower desk with witness signatures attached: No utility line, scheduled test, or weather note explains what was found on site. Further handling instructions are waiting on your call.",Hand the matter to the field office and keep the reports dry,Send the report upward and wait under local restraint,Throw open the barriers and let the curious crowd in,Nomad Clans relation +1; gain 50 Aurelite; lose 90 Aurelite,gain 420 Astra; gain 220 Aurelite; lose 270 Deuterium,Nomad Clans relation -1; gain 140 Astra; lose 460 Aurelite; lose 70 Astra
Strange event,Inner flare near machine yard,A fresh incident docket names inner flare near machine yard and nothing else on the cover. A pair of supervisors wrote separate notes and signed the same margin. The boundary markers are still in place.,Hand the matter to the field office and keep the reports dry,Send the report upward and wait under local restraint,Throw open the barriers and let the curious crowd in,Stellar Federacy relation +1; gain 90 Deuterium; lose 60 Aurelite,Stellar Federacy relation +1; lose 80 Aurelite; lose 180 Deuterium,Stellar Federacy relation -1; gain 120 Aurelite; lose 260 Astra
Signal,Outer transmission,A signal trace has been lifted from the edge of the system under the label outer transmission. Technicians say the carrier is steady; the interference sits underneath rather than across it; No reply has been sent.,Wake the archive staff and answer under seal,Quarantine the channel and cut civilian access,Feed it a false star chart and watch where the answer turns,Helios Consortium relation +1; gain 500 Vulkron; lose 270 Vulkron,Helios Consortium relation +1; gain 90 Vulkron; gain 50 Astra; lose 130 Aurelite,Helios Consortium relation -1; gain 220 Vulkron; lose 220 Vulkron
Story arc,Reactor trace,Reactor trace appeared this morning as the next note in an older chain. A small detail in this entry touches something filed weeks ago under another heading... The matter is still unfolding.,Send one trusted team and no banners,"Wait for better weather, better light, or better proof",Move openly with escorts and let the whole quarter see,gain 1 ship: Zenith; lose 1060 Astra; lose 1750 Deuterium; lose 220 Aurelite; Stellar Federacy relation +1; gain 140 Deuterium,lose 20 Aurelite; gain 100 Deuterium,Stellar Federacy relation +1; gain 1360 Deuterium; lose 200 Astra
Signal,Seabed ping,Long-range staff flagged seabed ping after the last sweep; The trace drifts just enough to avoid the standard route tables. Archive has marked it for comparison against older records.,Wake the archive staff and answer under seal,Quarantine the channel and cut civilian access,Feed it a false star chart and watch where the answer turns,gain 100 Aurelite; lose 90 Astra,Helios Consortium relation -1; lose 90 Aurelite; lose 200 Aurelite; gain 220 Vulkron,Helios Consortium relation -1; gain 1140 Vulkron; lose 140 Aurelite
Signal,North transmission,"The listening room has opened a fresh file on north transmission: The burst arrives in short blocks, then drops away before the readers can lock a reply window. The source remains unclaimed.",Route the signal to the observatory and hold all other traffic back,Record only and issue no reply,Piggyback a tracer burst onto the next return cycle,gain 380 Vulkron; lose 20 Aurelite,Terran Union relation -1; gain 60 Deuterium,Terran Union relation +1; gain 340 Aurelite; lose 500 Aurelite; lose 40 Aurelite
Faction movement,Terran Union party near Orbital Exchange,Terran Union party near Orbital Exchange entered the registry through the route desk rather than the port office. The ships held formation long enough for a second tower to confirm the count. The route remains open for now.,Post a narrow welcome and a list of local rules,Keep them to the outer lanes and deny the square,"Invite them in under feast lights, then empty their train",Terran Union relation +1; gain 560 Astra; lose 320 Deuterium,Terran Union relation -1; gain 200 Astra,Terran Union relation -1; gain 200 Aurelite; lose 40 Vulkron
Story arc,Relay record,A new paper marked relay record has been slipped into the same worn folder. The new details do not cancel the old ones; they simply sit beside them and make the pattern harder to ignore; The sequence is still open.,"Mark the place, count the hours, and return tomorrow",Break the pattern and look elsewhere,Use the pattern as bait and see what comes in to feed,Terran Union relation +1; gain 70 Deuterium; lose 100 Deuterium,gain 50 Aurelite; lose 140 Vulkron,Terran Union relation -1; gain 620 Aurelite; lose 300 Aurelite
Signal,Outer header,"The outer dish caught outer header on a clean pass. Timing marks line up too neatly for random noise, yet no active beacon matches the sequence... A second interpretation has been requested.",Route the signal to the observatory and hold all other traffic back,Record only and issue no reply,Piggyback a tracer burst onto the next return cycle,gain 100 Aurelite; lose 60 Aurelite,Terran Union relation +1; gain 30 Deuterium; lose 70 Aurelite,Terran Union relation -1; gain 240 Deuterium; lose 200 Aurelite
Empire notice,Registry notice for fuel court,"A formal notice titled registry notice for fuel court now hangs in the civic hall; Readers keep checking the final paragraph, then going back to the top again. Clerks have started preparing blanks.",Give the matter to the proper office and keep the seals intact,Hold the notice back until evening,Leak the notice to the docks before the council sees it,Terran Union relation +1; gain 500 Aurelite; lose 300 Vulkron,gain 340 Astra; lose 160 Deuterium,Terran Union relation +1; gain 500 Vulkron; lose 380 Deuterium; gain 40 Vulkron
Incoming convoy,Relief packet at grain flats,"Port control has logged relief packet at grain flats on the approach board: Crew on the tower counted bedroll bundles, water drums, and cargo nets drawn tight against the rails. Ground crews are standing by with no final instruction entered.",Give them a night window and keep the concourse closed,Move them to bonded storage and charge transfer rates on the hour,Take the speaker ashore and leave the rest of the train in orbit,Nomad Clans relation +1; gain 260 Vulkron; lose 120 Deuterium,Nomad Clans relation -1; lose 80 Astra; gain 50 Deuterium,Nomad Clans relation +1; gain 760 Vulkron; lose 120 Deuterium; lose 40 Deuterium
Signal,North burst,"North burst entered the watch report during the late scan. One portion of the file carries speech beneath the static, though the words still break apart on replay. The chart beside it is still blank.",Route the signal to the observatory and hold all other traffic back,Record only and issue no reply,Piggyback a tracer burst onto the next return cycle,Nomad Clans relation +1; gain 200 Vulkron; lose 120 Vulkron,gain 120 Deuterium; gain 120 Vulkron; lose 120 Aurelite,Nomad Clans relation -1; gain 560 Deuterium; lose 240 Deuterium; lose 30 Aurelite
Request,Survey request from A School Delegation,The clerk's office opened a packet marked survey request from a school delegation before midday. The packet smells faintly of machine oil and paper dust from the lower copy room; The return courier is waiting in the hall.,Receive the petition in the open hall and answer by noon,Return it for revision and require stamps on every page,Grant the request to the wrong party and watch the filings catch fire,Helios Consortium relation +1; gain 380 Vulkron; lose 120 Astra,Helios Consortium relation -1; gain 560 Deuterium; gain 50 Deuterium,gain 1 ship: Regent Caravel; lose 1060 Astra; lose 380 Deuterium; lose 560 Deuterium; Helios Consortium relation -1
Strange event,Second rain near upper berths,Second rain near upper berths now sits on the central board under active review. The nearest crews stopped work long enough to mark the edges with chalk and survey pins... The site remains under a simple watch post.,Move the nearest workers out and keep the machines running elsewhere,Suspend all nearby traffic until the readings settle,Use the event as cover and strip the surrounding stores,gain 380 Vulkron; lose 200 Deuterium,lose 620 Vulkron; gain 220 Vulkron,Terran Union relation -1; gain 200 Vulkron; lose 180 Astra; gain 80 Astra
Request,Bond request from The Dockworkers' Council,"Bond request from The Dockworkers' Council reached the governor's office by hand courier; The request is plainly written, though the supporting notes spread wider than the title suggests. Nothing has been initialled on the last page.",Take the meeting and hear the delegation in person,Keep them waiting in the corridor while clerks inspect the papers,Sign at once and let everyone else discover it later,gain 460 Deuterium; lose 250 Vulkron,lose 40 Astra; gain 120 Aurelite,Helios Consortium relation -1; gain 1060 Deuterium; lose 420 Astra; lose 30 Astra
Incoming convoy,Night freight at customs lanes,"Dock officers have opened a handling file for night freight at customs lanes: The first notes mention stacked tins, wrapped frames, and side hatches left unlatched. No surface pass has been stamped yet.",Open the lower berths and process them before the docks choke,Hold them at the quarantine buoys and trade by sealed lift,Cut a side bargain and peel off the best cargo before dawn,Eclipse Dominion relation +1; gain 20 Deuterium; lose 30 Deuterium,gain 220 Astra; gain 120 Vulkron; lose 140 Deuterium,Eclipse Dominion relation -1; gain 1750 Astra
Story arc,Lodestar ledger,"The ongoing file gained another page under the title lodestar ledger. The newest account is narrower than the last, though in some ways more useful. The chain remains unresolved.","Mark the place, count the hours, and return tomorrow",Break the pattern and look elsewhere,Use the pattern as bait and see what comes in to feed,Helios Consortium relation +1; gain 300 Astra; lose 40 Vulkron,Helios Consortium relation -1; lose 80 Aurelite; lose 20 Aurelite; gain 140 Vulkron,Helios Consortium relation +1; gain 380 Deuterium; lose 100 Aurelite
Strange event,Inner rain near ridge observatory,A fresh incident docket names inner rain near ridge observatory and nothing else on the cover. A pair of supervisors wrote separate notes and signed the same margin; The boundary markers are still in place.,Hand the matter to the field office and keep the reports dry,Send the report upward and wait under local restraint,Throw open the barriers and let the curious crowd in,Voidborne Pact relation +1; gain 80 Deuterium; lose 60 Astra,Voidborne Pact relation -1; gain 260 Astra; gain 80 Deuterium,Voidborne Pact relation -1; gain 460 Vulkron; lose 180 Deuterium
Strange event,Broken rain near Dormant Spire,Broken rain near Dormant Spire has been entered on the incident board after reports from the ground teams. Samples were taken where possible; the remainder was left in place behind cord tape... No one has moved it since the first note was taken.,Hand the matter to the field office and keep the reports dry,Send the report upward and wait under local restraint,Throw open the barriers and let the curious crowd in,Eclipse Dominion relation +1; gain 160 Vulkron; lose 260 Aurelite,gain 50 Astra; lose 100 Deuterium,Eclipse Dominion relation -1; gain 240 Vulkron; lose 500 Aurelite
Faction movement,Nomad Clans party near outer piers,Nomad Clans party near outer piers was logged by outer traffic and copied to the faction file; Transit officers checked three route tables before filing the movement as deliberate. Further tracking depends on your order.,Open a temporary gate and keep the militia visible,Let them wait in the weather outside the wall,Take their quartermaster first and let the rest lose order,Nomad Clans relation +1; gain 200 Vulkron; lose 200 Aurelite,Nomad Clans relation +1; lose 260 Deuterium; gain 160 Deuterium,Nomad Clans relation +1; gain 300 Vulkron; lose 160 Aurelite
Signal,Late ping,Long-range staff flagged late ping after the last sweep: The trace drifts just enough to avoid the standard route tables. Archive has marked it for comparison against older records.,Answer on the public bands and log the exchange,Keep silent and map the pattern for another cycle,Broadcast a forged reply using old authority codes,gain 40 Aurelite; lose 500 Vulkron,Terran Union relation +1; gain 300 Aurelite; lose 180 Aurelite,Terran Union relation -1; gain 300 Aurelite; lose 380 Aurelite; gain 50 Deuterium
Strange event,Dry opening near ridge observatory,Dry opening near ridge observatory now sits on the central board under active review. The nearest crews stopped work long enough to mark the edges with chalk and survey pins. The site remains under a simple watch post.,Take samples and log the ground exactly as found,Leave it untouched and post a watch,Cut into it with industrial tools before the second shift ends,Stellar Federacy relation +1; gain 40 Deuterium; lose 140 Vulkron,Stellar Federacy relation +1; lose 380 Vulkron; gain 240 Astra,Stellar Federacy relation -1; gain 380 Astra; lose 120 Astra
Empire notice,Census notice for customs lanes,Census notice for customs lanes came through on the official line with seals intact. The attached schedules are longer than the notice itself; The hall remains busy around the board.,Comply in full and post the order in every district,Delay compliance and answer with questions,Follow the order in public and gut it in private,gain 70 Astra; lose 620 Deuterium,lose 500 Deuterium; gain 50 Aurelite,Nomad Clans relation -1; gain 1240 Deuterium
Request,Audience request from A Temple Clerk,"The front desk stamped a filing titled audience request from a temple clerk and sent it upstairs. The papers include attachments, signatures, and a short note in the margin where the copied text ran out of room... The file has not left the upper desk.",Take the meeting and hear the delegation in person,Keep them waiting in the corridor while clerks inspect the papers,Sign at once and let everyone else discover it later,Eclipse Dominion relation +1; gain 560 Astra; lose 180 Aurelite,lose 560 Aurelite; gain 200 Deuterium,Eclipse Dominion relation -1; gain 820 Deuterium; lose 300 Aurelite
Tile incident,Refiner leak,"The district clerk entered refiner leak after the first round of calls; The note includes floor numbers, line markings, and the names of two people who stayed back to hold the area. Local response teams are waiting on instruction.",Patch it quietly and keep the workday moving,Publish the fault and hold the district under review,Use the confusion to clear old debts off the books,Terran Union relation +1; gain 90 Deuterium; lose 120 Aurelite,Terran Union relation -1; lose 240 Vulkron; gain 140 Aurelite,Terran Union relation -1; gain 500 Aurelite; lose 140 Vulkron
Incoming convoy,Canal tender at outer piers,"Canal tender at outer piers reached the port boundary before dawn-cycle: From the tower glass, the lower hull looked dusted in lane grit and coolant ash. Handling crews have paused at the ramp gate.",Give them a night window and keep the concourse closed,Move them to bonded storage and charge transfer rates on the hour,Take the speaker ashore and leave the rest of the train in orbit,Terran Union relation +1; gain 30 Vulkron; lose 100 Deuterium,gain 1 ship: Nocturne Sentry; lose 1060 Astra; lose 1480 Vulkron; lose 160 Deuterium; Terran Union relation +1,Terran Union relation -1; gain 420 Deuterium; lose 420 Vulkron
Empire notice,Readiness notice for Orbital Exchange,"A system notice under the title readiness notice for orbital exchange has arrived on the civic wire. The wording is formal enough, but the practical burden falls on ordinary desks and ordinary hands. The offices have begun asking how strictly it will be read.",Give the matter to the proper office and keep the seals intact,Hold the notice back until evening,Leak the notice to the docks before the council sees it,Stellar Federacy relation +1; gain 140 Aurelite; lose 380 Astra,Stellar Federacy relation +1; lose 300 Aurelite; gain 160 Deuterium,Stellar Federacy relation -1; gain 420 Aurelite; lose 260 Vulkron
Tile incident,Yard halt,Yard halt has been posted on the ward board for immediate handling. Staff on the nearby block added their own timings in the margin of the original report; The key cabinet copy is still unsigned.,"Send a foreman, a clerk, and two repair crews",Shut the line down and count every missing part,Blame the nearest contractor and seize their yard,gain 340 Deuterium; lose 100 Deuterium,Voidborne Pact relation -1; gain 300 Aurelite,Voidborne Pact relation -1; gain 140 Aurelite
Signal,Late transmission,Long-range staff flagged late transmission after the last sweep. The trace drifts just enough to avoid the standard route tables... Archive has marked it for comparison against older records.,Answer on the public bands and log the exchange,Keep silent and map the pattern for another cycle,Broadcast a forged reply using old authority codes,Eclipse Dominion relation +1; gain 340 Deuterium; lose 70 Vulkron,Eclipse Dominion relation +1; lose 160 Astra; lose 30 Aurelite,Eclipse Dominion relation -1; gain 1240 Vulkron; lose 460 Deuterium
Faction movement,Eclipse Dominion train near south ridge,The watch office has opened a movement note for eclipse dominion train near south ridge; One observer drew the formation by hand in the margin of the route sheet. The movement remains under observation.,"Exchange water, route marks, and a measured greeting",Refuse entry and watch from the ridge,Draw them deeper inland and close the road behind them,Eclipse Dominion relation +1; gain 60 Vulkron; lose 140 Vulkron,Eclipse Dominion relation -1; gain 80 Astra,Eclipse Dominion relation -1; gain 900 Astra; lose 300 Astra
Incoming convoy,Canal barge at machine yard,"Canal barge at machine yard has come in under provisional clearance: A clerk on the ring saw family bundles, machine cases, and a string of lanterns still hanging on the outer rail. The dock light stays amber beside the request line.",Wave them through under local protection and clear the customs corridor,Tax every crate and keep the escorts separate from the lead hull,Stage a false distress call and draw the convoy off its own route,gain 300 Aurelite; lose 30 Vulkron,Nomad Clans relation -1; lose 30 Aurelite; gain 160 Astra,Nomad Clans relation -1; gain 1060 Astra; lose 160 Deuterium
Strange event,White rain near customs lanes,"The first written account of white rain near customs lanes arrived before shift change. The first witnesses disagree on timing, though their sketches match more closely than their words. The matter has not yet been assigned a formal cause.",Hand the matter to the field office and keep the reports dry,Send the report upward and wait under local restraint,Throw open the barriers and let the curious crowd in,Terran Union relation +1; gain 260 Vulkron; lose 260 Astra,Terran Union relation +1; lose 380 Aurelite,Terran Union relation -1; gain 620 Vulkron
Strange event,Second rain near canal quarter,"Second rain near canal quarter was carried up from the lower desk with witness signatures attached. No utility line, scheduled test, or weather note explains what was found on site; Further handling instructions are waiting on your call.",Move the nearest workers out and keep the machines running elsewhere,Suspend all nearby traffic until the readings settle,Use the event as cover and strip the surrounding stores,Nomad Clans relation +1; gain 620 Deuterium; lose 50 Astra,Nomad Clans relation +1; gain 420 Astra; lose 240 Aurelite,Nomad Clans relation +1; gain 760 Vulkron; lose 220 Aurelite
Tile incident,Solar breach,A plain incident card marked solar breach is now clipped to the tile file. A chalk mark on the wall was used to fix the first point of reference... The watch rota has not yet been changed.,Patch it quietly and keep the workday moving,Publish the fault and hold the district under review,Use the confusion to clear old debts off the books,gain 340 Deuterium; lose 100 Deuterium,gain 460 Aurelite; lose 180 Astra,Eclipse Dominion relation -1; gain 160 Astra; lose 460 Vulkron; gain 70 Aurelite
